Id,preco
0,1100000
1,350000
2,550000
3,350000
4,350000
5,300000
6,400000
7,350000
8,350000
9,1200000
10,550000
11,550000
12,1100000
13,450000
14,750000
15,400000
16,350000
17,350000
18,400000
19,550000
20,1100000
21,350000
22,350000
23,400000
24,250000
25,350000
26,350000
27,370000
28,550000
29,550000
30,360000
31,1200000
32,1300000
33,1100000
34,1100000
35,370000
36,400000
37,1200000
38,360000
39,350000
40,1400000
41,550000
42,400000
43,1100000
44,1200000
45,200000
46,1200000
47,370000
48,450000
49,400000
50,350000
51,350000
52,550000
53,550000
54,1100000
55,310000
56,350000
57,350000
58,1100000
59,1100000
60,1200000
61,400000
62,1100000
63,1200000
64,350000
65,400000
66,400000
67,1100000
68,1200000
69,400000
70,1200000
71,400000
72,350000
73,550000
74,380000
75,1100000
76,350000
77,350000
78,350000
79,310000
80,400000
81,400000
82,360000
83,1100000
84,1200000
85,350000
86,350000
87,650000
88,350000
89,380000
90,550000
91,1100000
92,350000
93,350000
94,250000
95,550000
96,790000
97,1400000
98,330000
99,350000
100,550000
101,350000
102,1100000
103,550000
104,400000
105,1100000
106,1200000
107,1200000
108,360000
109,350000
110,370000
111,1200000
112,350000
113,350000
114,750000
115,400000
116,400000
117,1200000
118,1100000
119,370000
120,1200000
121,350000
122,550000
123,350000
124,350000
125,400000
126,350000
127,1100000
128,250000
129,1100000
130,1100000
131,1100000
132,550000
133,550000
134,1100000
135,350000
136,350000
137,850000
138,1300000
139,350000
140,1200000
141,350000
142,250000
143,1100000
144,360000
145,400000
146,350000
147,1100000
148,550000
149,1100000
150,550000
151,550000
152,550000
153,750000
154,350000
155,550000
156,370000
157,400000
158,400000
159,1100000
160,1200000
161,400000
162,600000
163,350000
164,350000
165,350000
166,350000
167,400000
168,350000
169,850000
170,550000
171,400000
172,550000
173,400000
174,350000
175,1300000
176,1100000
177,360000
178,1100000
179,350000
180,1100000
181,350000
182,1500000
183,550000
184,550000
185,400000
186,550000
187,400000
188,1200000
189,400000
190,1100000
191,1300000
192,350000
193,400000
194,350000
195,1100000
196,250000
197,1100000
198,400000
199,400000
200,1100000
201,350000
202,370000
203,1200000
204,750000
205,400000
206,350000
207,350000
208,1200000
209,1100000
210,550000
211,1200000
212,400000
213,350000
214,550000
215,400000
216,350000
217,550000
218,350000
219,350000
220,400000
221,1200000
222,3500000
223,350000
224,400000
225,550000
226,350000
227,400000
228,3500000
229,350000
230,350000
231,650000
232,360000
233,350000
234,550000
235,360000
236,1200000
237,1300000
238,1100000
239,350000
240,1100000
241,350000
242,350000
243,400000
244,1100000
245,350000
246,550000
247,350000
248,350000
249,1100000
250,1100000
251,350000
252,350000
253,350000
254,400000
255,550000
256,400000
257,1200000
258,1200000
259,1100000
260,350000
261,400000
262,400000
263,2100000
264,370000
265,350000
266,400000
267,400000
268,350000
269,1100000
270,350000
271,550000
272,750000
273,400000
274,350000
275,350000
276,350000
277,1200000
278,400000
279,1100000
280,250000
281,1100000
282,360000
283,360000
284,1200000
285,1300000
286,360000
287,1100000
288,350000
289,1200000
290,550000
291,550000
292,1100000
293,350000
294,1100000
295,350000
296,550000
297,1200000
298,350000
299,550000
300,1400000
301,400000
302,350000
303,550000
304,360000
305,350000
306,350000
307,350000
308,400000
309,450000
310,350000
311,1200000
312,1100000
313,350000
314,400000
315,1100000
316,1100000
317,850000
318,400000
319,380000
320,350000
321,1100000
322,1200000
323,360000
324,350000
325,400000
326,400000
327,1200000
328,1200000
329,350000
330,400000
331,350000
332,350000
333,1100000
334,1100000
335,400000
336,350000
337,420000
338,1400000
339,350000
340,400000
341,1300000
342,850000
343,1100000
344,550000
345,550000
346,380000
347,400000
348,350000
349,1100000
350,550000
351,1100000
352,350000
353,1200000
354,400000
355,350000
356,550000
357,1100000
358,400000
359,550000
360,350000
361,1100000
362,350000
363,350000
364,380000
365,550000
366,1200000
367,250000
368,1100000
369,1100000
370,400000
371,650000
372,400000
373,1100000
374,1100000
375,1200000
376,350000
377,650000
378,1200000
379,1100000
380,550000
381,350000
382,350000
383,550000
384,550000
385,550000
386,1100000
387,1100000
388,400000
389,1100000
390,550000
391,350000
392,550000
393,550000
394,400000
395,400000
396,370000
397,400000
398,550000
399,350000
400,350000
401,350000
402,350000
403,400000
404,550000
405,1200000
406,350000
407,350000
408,1100000
409,450000
410,550000
411,350000
412,220000
413,400000
414,550000
415,650000
416,350000
417,400000
418,370000
419,350000
420,550000
421,350000
422,350000
423,350000
424,350000
425,550000
426,550000
427,1200000
428,1100000
429,360000
430,370000
431,350000
432,1200000
433,350000
434,1100000
435,550000
436,1200000
437,1300000
438,380000
439,350000
440,370000
441,400000
442,350000
443,400000
444,1100000
445,550000
446,330000
447,350000
448,750000
449,350000
450,250000
451,1100000
452,1200000
453,350000
454,360000
455,400000
456,550000
457,330000
458,400000
459,400000
460,250000
461,350000
462,400000
463,550000
464,350000
465,350000
466,550000
467,1100000
468,650000
469,1500000
470,1300000
471,400000
472,400000
473,250000
474,350000
475,1100000
476,750000
477,370000
478,370000
479,550000
480,550000
481,1200000
482,550000
483,370000
484,400000
485,450000
486,1200000
487,350000
488,1100000
489,350000
490,750000
491,360000
492,350000
493,350000
494,550000
495,1200000
496,1200000
497,350000
498,350000
499,550000
500,1100000
501,1500000
502,400000
503,350000
504,450000
505,1100000
506,1100000
507,550000
508,350000
509,350000
510,550000
511,350000
512,1100000
513,350000
514,450000
515,360000
516,550000
517,400000
518,750000
519,350000
520,1300000
521,1100000
522,400000
523,350000
524,1100000
525,1300000
526,1200000
527,1200000
528,350000
529,360000
530,550000
531,1200000
532,350000
533,1100000
534,380000
535,450000
536,350000
537,1300000
538,650000
539,850000
540,360000
541,250000
542,350000
543,1300000
544,350000
545,650000
546,250000
547,850000
548,380000
549,350000
550,750000
551,400000
552,1200000
553,350000
554,350000
555,360000
556,350000
557,350000
558,350000
559,1100000
560,350000
561,550000
